episodes,improvement_vs_static,mean_invalid_actions,mean_return,mean_robot_path_length,mean_stay_action_rate,mean_t80,mean_t80_minus_static,median_t80,method,robot_start_positions,scenario_id,static_like_episode_rate,std_t80,success_80_rate
20,0.0,0.0,-176.0,0.0,1.0,176.0,0.0,175.5,Static-2R,"[(11, 11), (13, 33)]",P0,1.0,8.111071056538126,1.0
20,0.0,0.0,-176.0,0.0,1.0,176.0,0.0,175.5,IDQN-BC,"[(11, 11), (13, 33)]",P0,1.0,8.111071056538126,1.0
20,0.0,0.0,-176.0,0.0,1.0,176.0,0.0,175.5,QMIX-BC,"[(11, 11), (13, 33)]",P0,1.0,8.111071056538126,1.0
20,0.0,0.0,-180.25,0.0,1.0,180.25,0.0,180.0,Static-2R,"[(9, 8), (23, 8)]",P1,1.0,11.597980767993059,1.0
20,0.0,0.0,-180.25,0.0,1.0,180.25,0.0,180.0,IDQN-BC,"[(9, 8), (23, 8)]",P1,1.0,11.597980767993059,1.0
20,0.0,0.0,-180.25,0.0,1.0,180.25,0.0,180.0,QMIX-BC,"[(9, 8), (23, 8)]",P1,1.0,11.597980767993059,1.0
20,0.0,0.0,-178.15,0.0,1.0,178.15,0.0,179.0,Static-2R,"[(9, 22), (23, 22)]",P2,1.0,10.791200118615167,1.0
20,0.0,0.0,-178.15,0.0,1.0,178.15,0.0,179.0,IDQN-BC,"[(9, 22), (23, 22)]",P2,1.0,10.791200118615167,1.0
20,0.0,0.0,-178.15,0.0,1.0,178.15,0.0,179.0,QMIX-BC,"[(9, 22), (23, 22)]",P2,1.0,10.791200118615167,1.0
20,0.0,0.0,-185.15,0.0,1.0,185.15,0.0,186.0,Static-2R,"[(13, 29), (20, 29)]",P3,1.0,8.362038280857504,1.0
20,0.0,0.0,-185.15,0.0,1.0,185.15,0.0,186.0,IDQN-BC,"[(13, 29), (20, 29)]",P3,1.0,8.362038280857504,1.0
20,0.0,0.0,-185.15,0.0,1.0,185.15,0.0,186.0,QMIX-BC,"[(13, 29), (20, 29)]",P3,1.0,8.362038280857504,1.0
20,0.0,0.0,-184.4,0.0,1.0,184.4,0.0,181.0,Static-2R,"[(4, 10), (28, 10)]",P4,1.0,13.10845448355253,1.0
20,0.0,0.0,-184.4,0.0,1.0,184.4,0.0,181.0,IDQN-BC,"[(4, 10), (28, 10)]",P4,1.0,13.10845448355253,1.0
20,0.0,0.0,-184.4,0.0,1.0,184.4,0.0,181.0,QMIX-BC,"[(4, 10), (28, 10)]",P4,1.0,13.10845448355253,1.0
20,0.0,0.0,-166.4,0.0,1.0,166.4,0.0,166.0,Static-2R,"[(15, 32), (18, 32)]",Best-Static,1.0,5.897367833908705,1.0
20,0.0,0.0,-166.4,0.0,1.0,166.4,0.0,166.0,IDQN-BC,"[(15, 32), (18, 32)]",Best-Static,1.0,5.897367833908705,1.0
20,0.0,0.0,-166.4,0.0,1.0,166.4,0.0,166.0,QMIX-BC,"[(15, 32), (18, 32)]",Best-Static,1.0,5.897367833908705,1.0
