episodes,improvement_vs_static,mean_invalid_actions,mean_return,mean_robot_path_length,mean_stay_action_rate,mean_t80,mean_t80_minus_static,median_t80,method,robot_start_positions,scenario_id,static_like_episode_rate,std_t80,success_80_rate
20,0.0,0.0,-176.0,0.0,1.0,176.0,0.0,175.5,Static-2R,"[(11, 11), (13, 33)]",P0,1.0,8.111071056538126,1.0
20,-1.3000000000000114,165.3,-177.3,126.8,0.17659376880619704,177.3,1.3000000000000114,175.5,IDQN-BC,"[(11, 11), (13, 33)]",P0,0.0,7.746646133378591,1.0
20,-8.25,209.5,-184.25,25.2,0.3612279645851659,184.25,8.25,180.5,QMIX-BC,"[(11, 11), (13, 33)]",P0,0.0,12.36665720905677,1.0
20,0.0,0.0,-180.25,0.0,1.0,180.25,0.0,180.0,Static-2R,"[(9, 8), (23, 8)]",P1,1.0,11.597980767993059,1.0
20,-2.1500000000000057,126.1,-182.4,162.7,0.20667020903917627,182.4,2.1500000000000057,181.0,IDQN-BC,"[(9, 8), (23, 8)]",P1,0.0,10.639548862616309,1.0
20,-3.6500000000000057,330.95,-183.9,34.6,0.006120227686099895,183.9,3.6500000000000057,185.0,QMIX-BC,"[(9, 8), (23, 8)]",P1,0.0,10.55262501640431,1.0
20,0.0,0.0,-178.15,0.0,1.0,178.15,0.0,179.0,Static-2R,"[(9, 22), (23, 22)]",P2,1.0,10.791200118615167,1.0
20,14.150000000000006,2165.2,-1147.6,38.05,0.2485320439573791,164.0,-14.150000000000006,162.5,IDQN-BC,"[(9, 22), (23, 22)]",P2,0.0,11.224972160321824,0.9
20,-2.5,265.35,-180.65,71.75,0.06733932181320686,180.65,2.5,180.5,QMIX-BC,"[(9, 22), (23, 22)]",P2,0.0,9.777928959490456,1.0
20,0.0,0.0,-185.15,0.0,1.0,185.15,0.0,186.0,Static-2R,"[(13, 29), (20, 29)]",P3,1.0,8.362038280857504,1.0
20,2.3499999999999943,240.45,-182.8,100.05,0.06881668525552569,182.8,-2.3499999999999943,182.5,IDQN-BC,"[(13, 29), (20, 29)]",P3,0.0,9.350485492602425,1.0
20,-0.15000000000000568,223.95,-185.3,34.65,0.3029349329723132,185.3,0.15000000000000568,183.0,QMIX-BC,"[(13, 29), (20, 29)]",P3,0.0,11.841497060404944,1.0
20,0.0,0.0,-184.4,0.0,1.0,184.4,0.0,181.0,Static-2R,"[(4, 10), (28, 10)]",P4,1.0,13.10845448355253,1.0
20,4.849999999999994,178.4,-179.55,164.7,0.044818617279304904,179.55,-4.849999999999994,176.5,IDQN-BC,"[(4, 10), (28, 10)]",P4,0.0,9.444993104118293,1.0
20,-1.6500000000000057,163.75,-186.05,32.95,0.47287665759866393,186.05,1.6500000000000057,182.0,QMIX-BC,"[(4, 10), (28, 10)]",P4,0.0,14.10291123361265,1.0
20,0.0,0.0,-166.4,0.0,1.0,166.4,0.0,166.0,Static-2R,"[(15, 32), (18, 32)]",Best-Static,1.0,5.897367833908705,1.0
20,-10.150000000000006,211.1,-176.55,128.45,0.03873751781247321,176.55,10.150000000000006,173.5,IDQN-BC,"[(15, 32), (18, 32)]",Best-Static,0.0,11.147220564597681,1.0
20,-14.364705882352922,3219.5,-1653.65,87.8,0.0,180.76470588235293,14.364705882352922,182.0,QMIX-BC,"[(15, 32), (18, 32)]",Best-Static,0.0,10.00330827629481,0.85
