method,window,episodes,mean_t80,std_t80,mean_invalid_actions,best_t80,worst_t80
IDQN-2R,first100,100,181.39,12.138006925406334,65.73,159.0,226.0
IDQN-2R,mid100_1201_1300,100,179.89,12.34838966313937,107.88,158.0,221.0
IDQN-2R,last100,100,179.45,10.72651298456683,112.99,157.0,218.0
IDQN-2R,last300,300,177.57666666666665,11.346951127440237,124.45333333333333,153.0,221.0
IDQN-2R,last500,500,177.272,10.994898434417951,124.406,153.0,228.0
QMIX-2R,first100,100,182.84,31.15672990192999,177.58,152.0,382.0
QMIX-2R,mid100_1201_1300,100,271.36,192.53190841410097,464.75,151.0,1515.0
QMIX-2R,last100,100,182.3,10.017661171827251,56.65,162.0,210.0
QMIX-2R,last300,300,223.85333333333332,110.9206162046516,177.55333333333334,161.0,757.0
QMIX-2R,last500,500,250.196,145.91773557422763,254.502,156.0,930.0
