episodes,improvement_vs_static,mean_invalid_actions,mean_return,mean_robot_path_length,mean_stay_action_rate,mean_t80,mean_t80_minus_static,median_t80,method,robot_start_positions,scenario_id,static_like_episode_rate,std_t80,success_80_rate
20,0.0,0.0,-176.0,0.0,1.0,176.0,0.0,175.5,Static-2R,"[(11, 11), (13, 33)]",P0,1.0,8.111071056538126,1.0
20,-8.099999999999994,154.8,-184.1,62.7,0.4091491066076607,184.1,8.099999999999994,184.0,IDQN-2R,"[(11, 11), (13, 33)]",P0,0.0,10.386732427780924,1.0
20,-5.900000000000006,270.35,-181.9,90.4,0.00855540264798459,181.9,5.900000000000006,180.5,QMIX-2R,"[(11, 11), (13, 33)]",P0,0.0,9.613039390109117,1.0
20,0.0,0.0,-180.25,0.0,1.0,180.25,0.0,180.0,Static-2R,"[(9, 8), (23, 8)]",P1,1.0,11.597980767993059,1.0
20,1.25,296.5,-179.0,58.3,0.009039384413497841,179.0,-1.25,177.5,IDQN-2R,"[(9, 8), (23, 8)]",P1,0.0,8.391725247622144,1.0
20,-5.349999999999994,298.15,-185.6,64.65,0.02263357988957515,185.6,5.349999999999994,183.0,QMIX-2R,"[(9, 8), (23, 8)]",P1,0.0,13.659005126751786,1.0
20,0.0,0.0,-178.15,0.0,1.0,178.15,0.0,179.0,Static-2R,"[(9, 22), (23, 22)]",P2,1.0,10.791200118615167,1.0
20,-3.299999999999983,291.0,-181.45,71.9,0.0,181.45,3.299999999999983,178.5,IDQN-2R,"[(9, 22), (23, 22)]",P2,0.0,12.567606647333662,1.0
20,-8.849999999999994,137.45,-187.0,51.5,0.49512169526420646,187.0,8.849999999999994,187.0,QMIX-2R,"[(9, 22), (23, 22)]",P2,0.0,11.516578439248716,1.0
20,0.0,0.0,-185.15,0.0,1.0,185.15,0.0,186.0,Static-2R,"[(13, 29), (20, 29)]",P3,1.0,8.362038280857504,1.0
20,7.099999999999994,181.65,-178.05,112.75,0.1737420659165056,178.05,-7.099999999999994,175.5,IDQN-2R,"[(13, 29), (20, 29)]",P3,0.0,10.29805806936434,1.0
20,3.0500000000000114,63.5,-182.1,269.65,0.08564212413593977,182.1,-3.0500000000000114,182.0,QMIX-2R,"[(13, 29), (20, 29)]",P3,0.0,10.346115467321921,1.0
20,0.0,0.0,-184.4,0.0,1.0,184.4,0.0,181.0,Static-2R,"[(4, 10), (28, 10)]",P4,1.0,13.10845448355253,1.0
20,2.5500000000000114,181.25,-181.85,139.25,0.11772330003033746,181.85,-2.5500000000000114,182.0,IDQN-2R,"[(4, 10), (28, 10)]",P4,0.0,11.44448844594959,1.0
20,-0.09999999999999432,212.75,-184.5,62.45,0.25447121853331534,184.5,0.09999999999999432,185.5,QMIX-2R,"[(4, 10), (28, 10)]",P4,0.0,11.856599317191293,1.0
20,0.0,0.0,-166.4,0.0,1.0,166.4,0.0,166.0,Static-2R,"[(15, 32), (18, 32)]",Best-Static,1.0,5.897367833908705,1.0
20,-7.099999999999994,235.4,-173.5,111.6,0.0,173.5,7.099999999999994,173.0,IDQN-2R,"[(15, 32), (18, 32)]",Best-Static,0.0,9.433981132056603,1.0
20,-17.75,48.95,-184.15,270.65,0.1322307120418541,184.15,17.75,182.5,QMIX-2R,"[(15, 32), (18, 32)]",Best-Static,0.0,15.342664971283595,1.0
