time,Device,Device01,Device02,Device03,Device04,Device05,Device06,Device07,Device08,Device09,Device10,Device11,Device12,Device13,Device14,Device15,Device16,Device17,Device18,Device19,Device20
0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
0.15966498,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
0.31932996,0.0,20.000074,20.000076,20.000059,20.000061,20.000068,20.000069,20.000101,20.000072,20.000067,20.000068,20.00007,20.000072,20.000103,20.000075,20.000067,20.000069,20.00007,20.000065,20.000057,20.000063
0.38873516,0.0,20.000598,20.000601,20.000577,20.000579,20.00059,20.000591,20.000636,20.000595,20.000588,20.000589,20.000592,20.000596,20.000638,20.000599,20.000588,20.000591,20.000592,20.000585,20.000573,20.000582
0.46508088,0.0,20.001421,20.001397,20.001361,20.001364,20.001378,20.00138,20.002319,20.001454,20.001382,20.001378,20.00138,20.001386,20.002706,20.001503,20.001384,20.001381,20.00138,20.001372,20.001355,20.001368
0.50926593,2.1905911000000002e-21,20.001186,20.001146,20.001103,20.001106,20.001123,20.001124,20.002584,20.00124,20.001129,20.001123,20.001125,20.001131,20.003193,20.001315,20.001133,20.001126,20.001125,20.001116,20.001097,20.001111
0.55345098,3.1652763e-19,20.002067,20.002011,20.001961,20.001964,20.001983,20.001984,20.003961,20.00214,20.001992,20.001983,20.001985,20.001992,20.004794,20.002241,20.001997,20.001986,20.001985,20.001974,20.001953,20.001969
0.60205454,3.2598441999999995e-18,20.004349,20.003139,20.002599,20.002459,20.002473,20.00246,20.012919,20.004594,20.002979,20.002583,20.002476,20.002462,20.013951,20.005071,20.003124,20.002681,20.002494,20.002448,20.002415,20.00243
0.65551845,2.1361498e-17,20.006737,20.004258,20.003177,20.00288,20.002888,20.002859,20.02264,20.007167,20.003939,20.00312,20.002891,20.002854,20.023893,20.008055,20.004239,20.003322,20.00293,20.002845,20.002798,20.002814
0.71432875,1.1588912e-16,20.009285,20.005409,20.003732,20.003263,20.003265,20.003218,20.033241,20.009914,20.004915,20.003629,20.003268,20.003205,20.034732,20.011251,20.005386,20.003946,20.00333,20.0032,20.00314,20.003156
