UTC时间,卫星,速度 (公里/小时),航向 (度),纬度,经度,GPS卫星,Glonass卫星,BrakeTrigger,高度 (米),速度品质 (公里/小时),垂直速度 (公里/小时),触发事件时间 (s),解决方案类型,Elapsed time (s),Distance (米),Lateral acceleration (G),Longitudinal acceleration (G),Relative height (米),Radius of turn (米),DIS33 (米),v (公里/小时),oil (ml),IMU Kalman Filter Status,CustomBrakeTrigger_|_ContextSpecificChannel_|_2d058a7d-adf4-4854-8fa0-2a376f2a4032,Centre Line Deviation_|_ContextSpecificChannel_|_2d058a7d-adf4-4854-8fa0-2a376f2a4032 (米)
001628.600,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,12.14,21.57,91.2599945068359,0,0,0.00
001628.610,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.01,0.00,0.00,0.00,0.00,0.00,12.16,21.50,91.2699966430664,0,0,0.00
001628.620,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.02,0.00,0.00,0.00,0.00,0.00,12.19,21.54,91.2799987792969,0,0,0.00
001628.630,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.03,0.00,0.00,0.00,0.00,0.00,12.22,21.72,91.2900009155273,0,0,0.00
001628.640,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.04,0.00,0.00,0.00,0.00,0.00,12.25,21.56,91.2999954223633,0,0,0.00
001628.650,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.05,0.00,0.00,0.00,0.00,0.00,12.28,21.75,91.3099975585938,0,0,0.00
001628.660,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.06,0.00,0.00,0.00,0.00,0.00,12.31,21.67,91.3199996948242,0,0,0.00
001628.670,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.07,0.00,0.00,0.00,0.00,0.00,12.34,21.59,91.3299942016602,0,0,0.00
001628.680,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.08,0.00,0.00,0.00,0.00,0.00,12.37,21.71,91.3399963378906,0,0,0.00
001628.690,0,0.00,0.0,0°0.000000 北,0°0.000000 东,0,0,0,0.00,0.00,0.00,0.00,0,0.09,0.00,0.00,0.00,0.00,0.00,12.39,21.28,91.3499984741211,0,0,0.00
